RA,DEC
47.9030,-43.9621
43.5373,-54.1685
19.2435,-43.0544
33.3715,-58.2049
72.5797,-44.6545
6.00404,-53.0805
329.406,-54.5968
53.8454,-52.0829
83.0323,-48.9349
17.3146,-47.8486
91.3636,-49.9278
40.0483,-54.7793
61.1638,-49.8274
78.3065,-52.3466
43.2105,-56.7323
77.5582,-42.4564
44.4902,-44.5541
79.3213,-49.1900
338.678,-57.3490
61.9364,-45.3655
337.764,-0.653129
321.639,-52.7509
34.3897,-57.4049
342.743,-1.07760
356.255,-41.5802
34.6536,-49.1232
60.5510,-55.5208
13.5419,-42.0835
34.8221,-58.9108
33.9463,-54.0246
78.6510,-50.9205
60.0469,-59.7166
18.9788,-54.9984
73.5835,-47.7309
21.5423,-48.4709
19.4051,-54.6319
347.197,-50.1135
36.6770,-42.8693
25.7174,-43.4111
47.0868,-50.2180
32.1584,-43.1588
2.12655,-1.04103
68.5087,-50.3929
80.9631,-53.0216
345.967,-52.1899
343.178,-43.6927
89.3419,-45.2093
93.6072,-48.9719
29.0208,-46.8333
300.482,-52.8441
80.2571,-57.0269
60.8125,-46.9700
27.6415,-52.5574
9.29887,-54.1621
356.050,-0.597174
7.89916,-42.6395
14.9706,-48.7360
81.1386,-45.3910
353.099,-58.7802
38.4008,-43.2498
55.9870,-46.2576
359.545,-44.0331
45.3934,-56.0717
16.1983,-42.0770
314.376,-52.7484
317.525,-51.8623
350.671,-0.692871
60.9255,-40.3363
56.7864,-43.6591
45.9033,-44.4878
325.470,-1.13669
63.1173,-61.4980
308.893,-49.2170
43.4387,-59.3712
49.3664,-46.0433
80.5932,-47.0320
321.616,-53.3804
54.3718,-43.6393
342.898,-58.3068
41.2009,-54.6031
306.076,-51.4127
343.524,-45.5032
325.570,-54.2298
18.0530,-56.9528
65.9423,-42.5485
338.617,-55.0010
303.746,-53.4742
64.5820,-59.6980
345.675,-52.3896
87.0437,-40.6060
12.3214,-49.1600
33.0267,-40.3796
70.6487,-52.6702
344.061,-43.9151
51.3949,-53.0125
346.039,-58.8613
72.1416,-45.1868
341.955,-1.16664
66.1977,-60.8075
71.1991,-61.1095
48.7220,-43.2491
337.724,1.22735
354.741,-47.2121
14.4538,-55.6656
321.240,1.25248
78.6305,-53.5040
28.5887,-51.0928
48.7651,-42.7387
346.035,-51.0152
45.0132,-54.6607
327.437,-50.7966
322.133,1.55455
85.8463,-54.6766
41.0814,-53.2342
4.76993,-47.7672
24.0725,-45.5338
354.151,-56.1205
350.169,-53.2570
328.668,-0.392742
94.1410,-56.9004
